German,Arabic,Pronunciation,Article,Plural,Type,Level,Tags,Status,Mastery,Quality Issues
"Freut mich, dass es euch geschmeckt hat.",يسعدني أنك استمتعت به.,"فرأويت ميش, داس إس أويش غهشمِكت هات.",,,sentence,,,new,0,
"Es ist schön, wieder hier zu sein.",من الجميل أن أكون هنا من جديد.,"إس يزت شون, فيدر هير تسو زآين.",,,sentence,,,new,0,
Ich hatte Heimweh.,كنت أشعر بالحنين إلى الوطن.,إيش هاتته هآيمفِه.,,,sentence,,,new,0,
Ich habe Deutschland vermisst.,اشتقت إلى ألمانيا.,إيش هابه دأويتشلاند فرميززت.,,,sentence,,,new,0,
"Ich komme zwar aus der Türkei, aber ...",قد أكون من تركيا، لكن...,"إيش كوممه تسفار آوس دير توركآي, آبر ...",,,sentence,,,new,0,رموز أو جزء مبتور يحتاج مراجعة
Ich wohne schon sehr lange hier.,لقد عشت هنا لفترة طويلة جداً.,إيش فوهنه شون زير لانغه هير.,,,sentence,,,new,0,
Warum hast du denn nichts gesagt?,لماذا لم تقل شيئاً؟,فاروم هازت دو دين نيشتز غهزاغت?,,,sentence,,,overdue,47,
viele,كثير,فيله,,,word,,,new,0,
jung,شاب,يونغ,,,word,,,new,0,
der Mensch,الإنسان,دير منش,der,,noun,,,new,0,
die Welt,العالم,دي فلت,die,,noun,,,new,0,
auf der ganzen Welt,حول العالم,آوف دير غانتسن فلت,,,sentence,,,new,0,
tun,يفعل,تون,,,word,,,new,0,
das Beste,الأفضل,داس بهزته,das,,noun,,,new,0,
fahren,يقود,فاهرن,,,word,,,new,0,
nach Brasilien,إلى البرازيل,ناخ برازيلين,,,phrase,,,new,0,
nach China,إلى الصين,ناخ شينا,,,phrase,,,new,0,
nach England,إلى إنجلترا,ناخ نغلاند,,,phrase,,,new,0,
nach Österreich,إلى النمسا,ناخ وِزتررآيش,,,phrase,,,new,0,
in die USA,إلى الولايات المتحدة الأمريكية,إن دي وزا,,,phrase,,,new,0,
in die Schweiz,إلى سويسرا,إن دي شفآيتس,,,phrase,,,new,0,
die Sprache,اللغة,دي شبراخه,die,,noun,,,new,0,
fremde Sprachen,اللغات الأجنبية,فرِمده شبراخن,,,phrase,,,new,0,
die Kultur,الثقافة,دي كولتور,die,,noun,,,new,0,
kennenlernen,تعرف على,كنننلرنن,,,word,,,new,0,
Informationen,معلومات,ينفورماتسيونن,,,word,,,new,0,
ein paar Informationen,بعض المعلومات,آين باار ينفورماتسيونن,,,phrase,,,new,0,
kosten,يكلف,كوزتن,,,word,,,new,0,
wenig,عدد قليل,فنيغ,,,word,,,new,0,
sogar,حتى,زوغار,,,word,,,new,0,
ein bisschen,قليلاً,آين بيزشن,,,phrase,,,new,0,
das Geld,المال,داس غلد,das,,noun,,,new,0,
das Taschengeld,مصروف الجيب,داس تاشنغلد,das,,noun,,,new,0,
bezahlen,يدفع,بهتساهلن,,,word,,,new,0,
das Au-pair,المربية,داس آو-بآير,das,,noun,,,new,0,
die Familie,العائلة,دي فاميلي,die,,noun,,,new,0,
das Kind,الطفل,داس كيند,das,,noun,,,new,0,
die Kinder,الأطفال,دي كيندر,die,,noun,,,new,0,
bei einer Familie,مع عائلة,باي آينر فاميلي,,,phrase,,,overdue,34,
spielen,يلعب,شبيلن,,,word,,,new,0,
mit den Kindern spielen,اللعب مع الأطفال,ميت دن كيندرن شبيلن,,,sentence,,,new,0,
auf die Kinder aufpassen,اعتني بالأطفال,آوف دي كيندر آوفباززن,,,sentence,,,weak,52,
helfen,يساعد,هلفن,,,word,,,new,0,
die Hausarbeit,الأعمال المنزلية,دي هآوزاربآيت,die,,noun,,,new,0,
inklusive,مشتمل,ينكلوزيفه,,,word,,,new,0,
das Babysitting,جليسة أطفال,داس بابيزيتتينغ,das,,noun,,,new,0,
die Arbeitszeit,ساعات العمل,دي اربآيتزتسآيت,die,,noun,,,new,0,
betragen,يكون,بهتراغن,,,word,,,new,0,
die Stunde,الساعة,دي شتونده,die,,noun,,,new,0,
in der Woche,خلال الأسبوع,إن دير فوخه,,,phrase,,,new,0,
mindestens,على الأقل,ميندِزتنز,,,word,,,new,0,
höchstens,على الأكثر,هوِشزتنز,,,word,,,new,0,
in der Regel,عادة,إن دير رِغل,,,phrase,,,new,0,
die Unterkunft,مكان الإقامة,دي ونتركونفت,die,,noun,,,new,0,
die Verpflegung,خدمات الطعام,دي فربفلِغونغ,die,,noun,,,new,0,
kostenlos,مجاناً,كوزتنلوز,,,word,,,new,0,
zusammen mit,مع,تسوزاممن ميت,,,phrase,,,new,0,
zusammen mit wohnen,العيش معًا,تسوزاممن ميت فوهنن,,,phrase,,,new,0,
dort,هناك,دورت,,,word,,,new,0,
der Sprachkurs,دورة اللغة,دير شبراخكورز,der,,noun,,,new,0,
einen Sprachkurs besuchen,حضور دورة لغة,آينن شبراخكورز بهزوخن,,,phrase,,,new,0,
die Krankenversicherung,التأمين الصحي,دي كرانكنفرزيشرونغ,die,,noun,,,new,0,
die Agentur,الوكالة,دي اغنتور,die,,noun,,,new,0,
die Au-pair-Agentur,وكالة المربيات,دي آو-بآير-اغنتور,die,,noun,,,new,0,
übernehmen,الاستحواذ,وبرنِهمن,,,word,,,new,0,
die Vermittlung,الوساطة,دي فرميتتلونغ,die,,noun,,,new,0,
dass,الذي - التي,داس,,,word,,,new,0,
weil,لأن,فايل,,,word,,,new,0,
warum,لماذا,فاروم,,,word,,,new,0,
weshalb,ولأي سبب؟,فِزهالب,,,word,,,new,0,
wieso,كيف ذلك؟,فيزو,,,word,,,new,0,
doch,لكن,دوخ,,,word,,,new,0,
gar nicht,مُطْلَقاً,غار نيشت,,,phrase,,,new,0,
der Anfang,البداية,دير انفانغ,der,,noun,,,new,0,
der Anruf,المكالمة,دير انروف,der,,noun,,,new,0,
sich Zürich ansehen,لزيارة زيورخ,زيش تسوريش انزِهن,,,phrase,,,new,0,
Geld verdienen,اكسب المال,غلد فردينن,,,phrase,,,new,0,
weinen,يبكي,فآينن,,,word,,,new,0,
die Türkei,تركيا,دي توركآي,die,,noun,,,new,0,
zwar ... aber,على الرغم من ذلك، لكن,تسفار ... آبر,,,phrase,,,new,0,رموز أو جزء مبتور يحتاج مراجعة
die Integration,التكامل,دي ينتهغراتسيون,die,,noun,,,new,0,
langfristig,على المدى الطويل,لانغفريزتيغ,,,word,,,new,0,
der Prozess,العملية,دير بروتسِزز,der,,noun,,,new,0,
das Ziel,الهدف,داس تسيل,das,,noun,,,new,0,
alle Menschen,جميع الناس,الله منشن,,,phrase,,,new,0,
die Gesellschaft,المجتمع,دي غهزللشافت,die,,noun,,,new,0,
ein Teil der Gesellschaft werden,أن تصبح جزءًا من المجتمع,آين تآيل دير غهزللشافت فردن,,,sentence,,,new,0,
in Deutschland,في ألمانيا,إن دأويتشلاند,,,phrase,,,new,0,
sich zu Hause fühlen,أشعر وكأنني في بيتي,زيش تسو هآوزه فوهلن,,,sentence,,,new,0,
Deutsch lernen,تعلم اللغة الألمانية,دأويتش لرنن,,,phrase,,,new,0,
die Verfassung,الدستور,دي فرفاززونغ,die,,noun,,,new,0,
das Gesetz,القانون,داس غهزِتس,das,,noun,,,new,0,
kennen,يعرف,كننن,,,word,,,new,0,
respektieren,احترام,رِزبهكتيرن,,,word,,,new,0,
der Migrant,المهاجر,دير ميغرانت,der,,noun,,,new,0,
die Migrantin,المهاجر,دي ميغرانتين,die,,noun,,,new,0,
Migranten und Migrantinnen,المهاجرون,ميغرانتن أوند ميغرانتيننن,,,phrase,,,new,0,
auch,أيضًا,آوش,,,word,,,new,0,
sollen,يجب,زوللن,,,word,,,new,0,
gut Deutsch sprechen,أتحدث الألمانية بطلاقة,غوت دأويتش شبرِشن,,,phrase,,,new,0,
nur spanische Freunde,أصدقاء إسبان فقط,نور شبانيشه فرأوينده,,,phrase,,,new,0,
Pläne machen,ضع خططًا,بلينه ماخن,,,phrase,,,new,0,
die Zukunft,المستقبل,دي تسوكونفت,die,,noun,,,new,0,
der Zukunftsplan,الخطة المستقبلية,دير تسوكونفتزبلان,der,,noun,,,new,0,
Welche Zukunftspläne hast du?,ما هي خططك المستقبلية؟,فلشه تسوكونفتزبلينه هازت دو?,,,sentence,,,new,0,
noch mehr Deutsch lernen,تعلم المزيد من اللغة الألمانية,نوخ مير دأويتش لرنن,,,sentence,,,new,0,
erfolgreich sein,كن ناجحاً,رفولغرآيش زآين,,,phrase,,,new,0,
keine Familie möchten,لا تريد أي عائلة,كاينه فاميلي موِشتن,,,phrase,,,new,0,
das Studium,الدراسة,داس شتوديوم,das,,noun,,,new,0,
weiter studieren,استمر في الدراسة,فآيتر شتوديرن,,,phrase,,,new,0,
nicht mehr studieren,لم يعد يدرس,نيشت مير شتوديرن,,,phrase,,,new,0,
der Intensivkurs,الدورة المكثفة,دير ينتنزيفكورز,der,,noun,,,new,0,
einen Intensivkurs machen,التحق بدورة مكثفة,آينن ينتنزيفكورز ماخن,,,phrase,,,new,0,
in Köln,في كولونيا,إن كولن,,,phrase,,,new,0,
Jura,قانون,يورا,,,word,,,new,0,
Jura studieren,دراسة القانون,يورا شتوديرن,,,phrase,,,new,0,
Examen machen,قم بإجراء الامتحان,ِكسامن ماخن,,,phrase,,,new,0,
die Meinung,الرأي,دي مآينونغ,die,,noun,,,new,0,
der Meinung sein,أن يكون من الرأي,دير مآينونغ زآين,der,,phrase,,,new,0,
die Aussage,البيان,دي آوززاغه,die,,noun,,,new,0,
Was stimmt?,ما هو الصحيح؟,فاس شتيممت?,,,phrase,,,new,0,
der Beruf,الوظيفة,دير بروف,der,,noun,,,new,0,
die Ausbildung,التدريب,دي آوزبيلدونغ,die,,noun,,,new,0,
eine Ausbildung machen,للقيام بتدريب مهني,آينه آوزبيلدونغ ماخن,,,phrase,,,new,0,
das Praktikum,التدريب الداخلي,داس براكتيكوم,das,,noun,,,new,0,
ein Praktikum machen,قم بتدريب عملي,آين براكتيكوم ماخن,,,phrase,,,new,0,
Arbeit finden,البحث عن وظيفة,اربآيت فيندن,,,phrase,,,new,0,
die Werkstatt,ورشة العمل,دي فركزتاتت,die,,noun,,,new,0,
der Onkel,العم,دير ونكل,der,,noun,,,new,0,
die Mechatronikerin,مهندس الميكاترونيات,دي مِشاترونيكرين,die,,noun,,,new,0,
das Autohaus,وكالة بيع السيارات,داس آوتوهآوز,das,,noun,,,new,0,
anstrengend,مرهق,انزترنغند,,,word,,,new,0,
viel Spaß machen,استمتع كثيراً,فيل شباس ماخن,,,phrase,,,new,0,
die Arbeitserlaubnis,تصريح العمل,دي اربآيتزرلآوبنيز,die,,noun,,,new,0,
Angst haben,أن تخاف,انغزت هابن,,,phrase,,,new,0,
keine Arbeit finden,لا أستطيع العثور على وظيفة,كاينه اربآيت فيندن,,,phrase,,,new,0,
noch besser,بل وأفضل من ذلك,نوخ بهززر,,,phrase,,,due,0,
deshalb,ولهذا السبب,دِزهالب,,,word,,,new,0,
auf keinen Fall,بالتأكيد لا,آوف كآينن فالل,,,phrase,,,new,0,
die Eltern,الوالدان,دي لترن,die,,noun,,,new,0,
Meine Eltern verstehen mich nicht.,والداي لا يفهمانني.,مآينه لترن فرزتههن ميش نيشت.,,,sentence,,,new,0,
"Sie sagen, ich muss weiter studieren.",يقولون إنه يجب عليّ مواصلة الدراسة.,"زي زاغن, إيش موزز فآيتر شتوديرن.",,,sentence,,,new,0,
Ich will nicht mehr studieren.,لا أريد أن أدرس بعد الآن.,إيش فيلل نيشت مير شتوديرن.,,,sentence,,,ignored,0,أبلغ المستخدم عن مشكلة لغوية أو بياناتية
hassen,يكره,هاززن,,,word,,,new,0,
alles daran,كل شيء عنه,اللِز داران,,,phrase,,,ignored,0,أبلغ المستخدم عن مشكلة لغوية أو بياناتية
der Bruder,الأخ,دير برودر,der,,noun,,,new,0,
perfekt,ممتاز,برفِكت,,,word,,,new,0,
nicht so perfekt wie mein Bruder,ليس مثالياً مثل أخي,نيشت زو برفِكت في مآين برودر,,,sentence,,,new,0,
mit den Händen arbeiten,العمل بيديك,ميت دن هيندن اربآيتن,,,sentence,,,weak,40,
wollen,يريد,فوللن,,,word,,,new,0,
möchten,يريد,موِشتن,,,word,,,new,0,
wohnen,الإقامة,فوهنن,,,word,,,new,0,
leben,حياة,لِبن,,,word,,,new,0,
zurück,خلف,تسوروك,,,word,,,new,0,
zurück nach Spanien,العودة إلى إسبانيا,تسوروك ناخ شبانين,,,phrase,,,new,0,
die Konjunktion,حرف العطف,دي كونيونكتسيون,die,,noun,,,new,0,
der Hauptsatz,الجملة الرئيسية,دير هآوبتزاتس,der,,noun,,,new,0,
der Nebensatz,الجملة التابعة,دير نِبنزاتس,der,,noun,,,new,0,
sicher,يؤمن,زيشر,,,word,,,new,0,
der Neuanfang,بداية جديدة,دير نأويانفانغ,der,,noun,,,new,0,
schwer,صعب,شفر,,,word,,,new,0,
die Deutschkenntnisse,إتقان اللغة الألمانية,دي دأويتشكننتنيززه,die,,noun,,,new,0,
üben,يمارس,وبن,,,word,,,new,0,
schneller,أسرع,شنللر,,,word,,,new,0,
Du kümmerst dich um alles.,أنت تتولى كل شيء.,دو كوممرزت ديش وم اللِز.,,,sentence,,,new,0,
die Wohnung,الشقة,دي فوهنونغ,die,,noun,,,new,0,
fürs Erste,في الوقت الراهن,فورز رزته,,,phrase,,,new,0,
sofort,في الحال,زوفورت,,,word,,,new,0,
Sie machen sich Sorgen.,إنهم قلقون.,زي ماخن زيش زورغن.,,,sentence,,,new,0,
belügen,كذب,بلوغن,,,word,,,new,0,
Es wird nicht besser.,الوضع لا يتحسن.,إس فيرد نيشت بهززر.,,,sentence,,,new,0,
leichtsinnig,متهور,لآيشتزيننيغ,,,word,,,new,0,
konkrete Pläne,خطط ملموسة,كونكرِته بلينه,,,phrase,,,new,0,
überzeugen,يقنع,وبرتسأويغن,,,word,,,new,0,
aufgeben,يستسلم,آوفغهبن,,,word,,,new,0,
der Streit,النزاع,دير شترآيت,der,,noun,,,new,0,
nachdenken,تأمل,ناخدنكن,,,word,,,new,0,
zum Glück,لحسن الحظ,تسوم غلوك,,,phrase,,,new,0,
die Sprachschule,مدرسة اللغات,دي شبراخشوله,die,,noun,,,new,0,
gleich,حتى,غلآيش,,,word,,,new,0,
die E-Mail,البريد الإلكتروني,دي ه-مآيل,die,,noun,,,new,0,
versprochen,وعد,فرزبروخن,,,word,,,new,0,
die indirekte Frage,السؤال غير المباشر,دي ينديرِكته فراغه,die,,phrase,,,new,0,
nicht einmal,ولا حتى,نيشت آينمال,,,phrase,,,new,0,
Was ist mit ...?,ماذا عن ...؟,فاس يزت ميت ...?,,,sentence,,,new,0,رموز أو جزء مبتور يحتاج مراجعة
Das reicht nicht.,هذا لا يكفي.,داس رآيشت نيشت.,das,,sentence,,,new,0,
Einfach so?,بكل بساطة؟,آينفاخ زو?,,,phrase,,,new,0,
Viel Erfolg!,حظ سعيد!,فيل رفولغ!,,,phrase,,,new,0,
und so weiter,وهكذا,أوند زو فآيتر,,,phrase,,,new,0,
Ab jetzt,من الآن فصاعدًا,اب يِتست,,,phrase,,,new,0,
kein Spanisch mehr,لا مزيد من الإسبانية,كاين شبانيش مير,,,phrase,,,new,0,
nur noch Deutsch,الألمانية فقط,نور نوخ دأويتش,,,phrase,,,new,0,
am besten,يفضل,آم بهزتن,,,phrase,,,new,0,
anrufen,يتصل,انروفن,,,word,,,new,0,
länger warten,انتظر لفترة أطول,لينغر فارتن,,,phrase,,,new,0,
schaffen,يخلق,شاففن,,,word,,,new,0,
die Arbeit,العمل,دي اربآيت,die,,noun,,,new,0,
witzig,مضحك,فيتسيغ,,,word,,,new,0,
Deutsch,الألمانية,دأويتش,,,word,,,new,0,
Deutschland,ألمانيا,دأويتشلاند,,,word,,,new,0,
Spanisch,الأسبانية,شبانيش,,,word,,,new,0,
Sehr geehrte Damen und Herren,سيداتي وسادتي,زير غهِهرته دامن أوند هررن,,,sentence,,,learning,65,
Mit freundlichen Grüßen,أطيب التحيات,ميت فرأويندليشن غروسن,,,phrase,,,new,0,
der Gruß,التحية,دير غروس,der,,noun,,,new,0,
die Grüße,تحيات,دي غروسه,die,,noun,,,new,0,
natürlich,بشكل طبيعي,ناتورليش,,,word,,,new,0,
zuerst,أولاً,تسورزت,,,word,,,new,0,
selbst,نفسه,زلبزت,,,word,,,new,0,
der Neffe,ابن الأخ,دير نِففه,der,,noun,,,new,0,
die Niveaustufe,المستوى,دي نيفِآوزتوفه,die,,noun,,,new,0,
die Telefonnummer,رقم الهاتف,دي تلِفوننوممر,die,,noun,,,new,0,
der Beratungstermin,موعد الاستشارة,دير براتونغزترمين,der,,noun,,,new,0,
das Beratungsgespräch,الاستشارة,داس براتونغزغهزبريش,das,,noun,,,new,0,
Zeit haben,لدي وقت,تسآيت هابن,,,phrase,,,new,0,
einen Termin vereinbaren,حدد موعدًا,آينن ترمين فرآينبارن,,,phrase,,,new,0,
stattfinden,يحدث,شتاتتفيندن,,,word,,,new,0,
ankommen,يصل,انكوممن,,,word,,,new,0,
im Computer nachsehen,تحقق من الكمبيوتر,إم كومبوتر ناخزِهن,,,phrase,,,new,0,
vielleicht,ربما,فيللآيشت,,,word,,,new,0,
der Bahnhof,المحطة,دير باهنهوف,der,,noun,,,new,0,
Ich möchte gerne wissen,أود أن أعرف,إيش موِشته غرنه فيززن,,,sentence,,,new,0,
Können Sie mir sagen,هل يمكن أن تخبرني,كوننن زي مير زاغن,,,sentence,,,weak,4,
Können Sie mir vielleicht sagen,هل يمكنك أن تخبرني؟,كوننن زي مير فيللآيشت زاغن,,,sentence,,,new,0,
Darf ich Sie fragen,هل لي أن أسألك؟,دارف إيش زي فراغن,,,sentence,,,new,0,
Haben Sie eine Idee,هل لديك فكرة؟,هابن زي آينه يده,,,sentence,,,learning,9,
verbessern,يحسن,فربهززرن,,,word,,,new,0,
Deutschkenntnisse verbessern,تحسين مهارات اللغة الألمانية,دأويتشكننتنيززه فربهززرن,,,phrase,,,new,0,
die Vokabeln,المفردات,دي فوكابلن,die,,noun,,,new,0,
die Grammatik,القواعد,دي غرامماتيك,die,,noun,,,new,0,
die Aussprache,النطق,دي آوززبراخه,die,,noun,,,new,0,
die Aussprache üben,تدرب على النطق,دي آوززبراخه وبن,die,,phrase,,,new,0,
schwere Wörter,كلمات صعبة,شفره فورتر,,,phrase,,,new,0,
bestimmt,بالتأكيد,بهزتيممت,,,word,,,new,0,
gerade,مستقيم,غراده,,,word,,,new,0,
heute noch,حتى اليوم,هويته نوخ,,,phrase,,,new,0,
erst mal,أولاً,رزت مال,,,phrase,,,new,0,
weggehen,يترك,فِغغههن,,,word,,,new,0,
früher,سابقًا,فروهر,,,word,,,new,0,
das Problem,المشكلة,داس بروبلِم,das,,noun,,,new,0,
die Probleme,المشاكل,دي بروبلِمه,die,,noun,,,new,0,
die Überweisung,عملية النقل,دي وبرفآيزونغ,die,,noun,,,new,0,
per,بواسطة,بر,,,word,,,new,0,
die Lastschrift,الخصم المباشر,دي لازتشريفت,die,,noun,,,new,0,
die Zahlungen,المدفوعات,دي تساهلونغن,die,,noun,,,new,0,
der Verkäufer,البائع,دير فركأويفر,der,,noun,,,new,0,
der Zahlungseingang,استلام الدفعة,دير تساهلونغزآينغانغ,der,,noun,,,new,0,
bestellt,تم الطلب,بهزتللت,,,word,,,new,0,
die Zahlungsart,طريقة الدفع,دي تساهلونغزارت,die,,noun,,,new,0,
der Zahlungsempfänger,المستفيد,دير تساهلونغزِمبفينغر,der,,noun,,,new,0,
abbuchen,دَين,اببوخن,,,word,,,new,0,
die Miete,الإيجار,دي ميته,die,,noun,,,new,0,
der Vermieter,المالك,دير فرميتر,der,,noun,,,new,0,
einen Dauerauftrag einrichten,قم بإعداد أمر دفع دائم,آينن دآورآوفتراغ آينريشتن,,,phrase,,,new,0,
die Erinnerung,الذاكرة,دي ريننرونغ,die,,noun,,,new,0,
die Nachricht,الرسالة,دي ناخريشت,die,,noun,,,new,0,
bar,دُبٌّ,بار,,,word,,,learning,19,
meistens,في الغالب,مآيزتنز,,,word,,,new,0,
bekommen,يستلم,بهكوممن,,,word,,,new,0,
die Bescheinigung,الشهادة,دي بهشآينيغونغ,die,,noun,,,new,0,
die Reparatur,الإصلاح,دي رِباراتور,die,,noun,,,new,0,
der Heizkörper,المبرد,دير هآيتسكوربر,der,,noun,,,new,0,
die Anfahrtskosten,تكاليف السفر,دي انفاهرتزكوزتن,die,,noun,,,new,0,
die Summe,المجموع,دي زوممه,die,,noun,,,new,0,
das unten genannte Konto,الحساب المذكور أدناه,داس ونتن غناننته كونتو,das,,sentence,,,new,0,
die Überweisungsdaten,تفاصيل التحويل,دي وبرفآيزونغزداتن,die,,noun,,,new,0,
die Stromrechnung,فاتورة الكهرباء,دي شترومرِشنونغ,die,,noun,,,new,0,
die IBAN,رقم الحساب المصرفي الدولي (IBAN),دي يبان,die,,noun,,,new,0,
der Rechnungsbetrag,مبلغ الفاتورة,دير رِشنونغزبهتراغ,der,,noun,,,new,0,
die TAN,تان,دي تان,die,,noun,,,new,0,
eingeben,مدخل,آينغهبن,,,word,,,new,0,
vorlesen,اقرأ بصوت عالٍ,فورلِزن,,,word,,,new,0,
das Haben,تناول,داس هابن,das,,noun,,,new,0,
das Plus,الإيجابيات,داس بلوز,das,,noun,,,new,0,
das Soll,الهدف,داس زولل,das,,noun,,,new,0,
das Minus,السالب,داس مينوز,das,,noun,,,new,0,
der Fahrradladen,متجر الدراجات,دير فاهررادلادن,der,,noun,,,new,0,
aufnehmen,للتسجيل,آوفنِهمن,,,word,,,new,0,
leihen,أعار,لآيهن,,,word,,,new,0,
die Raten,الأسعار,دي راتن,die,,noun,,,new,0,
die Rechnung,مشروع القانون,دي رِشنونغ,die,,noun,,,weak,43,
vergessen,ينسى,فرغهززن,,,word,,,new,0,
eingehen,ل,آينغههن,,,word,,,new,0,
abgehen,مغادرة,ابغههن,,,word,,,new,0,
der Zahlungsausgang,التدفق النقدي الخارج,دير تساهلونغزآوزغانغ,der,,noun,,,new,0,
verzeichnen,سِجِلّ,فرتسآيشنن,,,word,,,new,0,
der Haushalt,الأسرة,دير هآوزهالت,der,,noun,,,new,0,
teuersten,الأغلى ثمناً,تأويرزتن,,,word,,,new,0,
das Produkt,المنتج,داس برودوكت,das,,noun,,,new,0,
die Firma,الشركة,دي فيرما,die,,noun,,,new,0,
billiger,أرخص,بيلليغر,,,word,,,new,0,
der Tipp,طرف,دير تيبب,der,,noun,,,new,0,
der Supermarkt,السوبر ماركت,دير زوبرماركت,der,,noun,,,new,0,
billig,رخيص,بيلليغ,,,word,,,new,0,
unten,أقل,ونتن,,,word,,,new,0,
das Regal,الرف,داس رِغال,das,,noun,,,new,0,
die Möbel,الأثاث,دي موِبل,die,,noun,,,new,0,
die Kleidung,الملابس,دي كلآيدونغ,die,,noun,,,new,0,
der Fernseher,التلفزيون,دير فرنزِهر,der,,noun,,,new,0,
der Secondhandladen,متجر السلع المستعملة,دير زِكوندهاندلادن,der,,noun,,,new,0,
das Buch,الكتاب,داس بوخ,das,,noun,,,new,0,
das Fahrrad,الدراجة,داس فاهرراد,das,,noun,,,new,0,
der Strom,الكهرباء,دير شتروم,der,,noun,,,new,0,
die Umwelt,البيئة,دي ومفلت,die,,noun,,,new,0,
ausschalten,أطفئ,آوزشالتن,,,word,,,new,0,
das Gerät,الجهاز,داس غريت,das,,noun,,,new,0,
verbrauchen,استهلك,فربرآوشن,,,word,,,new,0,
das Licht,ضوء,داس ليشت,das,,noun,,,new,0,
achten,اعتبار,اختن,,,word,,,new,0,
der Kauf,عملية الشراء,دير كآوف,der,,noun,,,new,0,
das Elektrogerät,الجهاز الكهربائي,داس لِكتروغريت,das,,noun,,,new,0,
der Energieverbrauch,استهلاك الطاقة,دير نرغيفربرآوش,der,,noun,,,new,0,
die Energieklasse,فئة الطاقة,دي نرغيكلاززه,die,,noun,,,new,0,
die Kreditkarte,بطاقة الائتمان,دي كرِديتكارته,die,,noun,,,new,0,
die Geheimzahl,الرقم السري,دي غههآيمتساهل,die,,noun,,,new,0,
der Geldautomat,الصراف الآلي,دير غلدآوتومات,der,,noun,,,new,0,
die Gebühr,الرسوم,دي غهبوهر,die,,noun,,,new,0,
die Anmeldung,التسجيل,دي انملدونغ,die,,noun,,,new,0,
das Formular,النموذج,داس فورمولار,das,,noun,,,new,0,
ausfüllen,املأ النموذج,آوزفوللن,,,word,,,new,0,
das Geburtsdatum,تاريخ الميلاد,داس غهبورتزداتوم,das,,noun,,,new,0,
der Geburtsort,مكان الميلاد,دير غهبورتزورت,der,,noun,,,new,0,
die Nationalität,الجنسية,دي ناتسيوناليتيت,die,,noun,,,new,0,
der Familienstand,الحالة الاجتماعية,دير فاميلينزتاند,der,,noun,,,new,0,
das Geschlecht,جنس,داس غهشلِشت,das,,noun,,,new,0,
die Daten,البيانات,دي داتن,die,,noun,,,new,0,
die Antwort,الجواب,دي انتفورت,die,,noun,,,new,0,
mittlerweile,في هذه الأثناء,ميتتلرفآيله,,,word,,,new,0,
im Schlaf können,النوم,إم شلاف كوننن,,,phrase,,,new,0,
die Adresse,العنوان,دي ادرِززه,die,,noun,,,new,0,
in Ordnung,من أجل,إن وردنونغ,,,phrase,,,new,0,
ein festes Einkommen,دخل ثابت,آين فِزتهز آينكوممن,,,phrase,,,new,0,
jemanden anrufen,اتصل بشخص ما,يِماندن انروفن,,,phrase,,,new,0,
damit,ومعها,داميت,,,word,,,new,0,
der Vertrag,العقد,دير فرتراغ,der,,noun,,,new,0,
der Vorgesetzte,المشرف,دير فورغهزِتسته,der,,noun,,,new,0,
Was meinen Sie damit?,ماذا تقصد بذلك؟,فاس مآينن زي داميت?,,,sentence,,,overdue,38,
der Unterschied,الفرق,دير ونترشيد,der,,noun,,,new,0,
das Basiskonto,الحساب الأساسي,داس بازيزكونتو,das,,noun,,,new,0,
